tournament_id,map_name,started,event_type,x_cpn,y_cpn,z_cpn
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,289715.8125,347046.375,2377.322265625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,419580.34375,443892.6875,4747.21044921875
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,217668.484375,383098.9375,163.1121368408203
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,219932.890625,354637.71875,4156.005859375
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,383538.71875,472678.1875,2478.19140625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,271241.53125,427968.25,496.9588928222656
kr-pkl18,Erangel,2019-02-07T06:36:32.406591Z,LogParachuteLanding,423042.59375,97309.2265625,17.727161407470703
kr-pkl18,Erangel,2019-02-07T06:36:32.406591Z,LogParachuteLanding,395524.625,117913.296875,81.14752960205078
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,497936.21875,180102.15625,4236.2490234375
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,535738.125,312906.6875,1942.525634765625
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,534389.375,232403.140625,474.08843994140625
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,461803.21875,97363.9140625,137.46221923828125
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,459584.28125,98010.4765625,149.23631286621094
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,605785.0,261893.671875,150.276123046875
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,460552.5,308402.90625,746.4879150390625
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,589850.3125,288518.59375,2447.03466796875
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,634324.6875,272902.125,51.930015563964844
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,564500.9375,250749.234375,184.14971923828125
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,523425.625,377616.5,2028.48681640625
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,556600.375,362975.5,578.9517211914062
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,487461.53125,78402.5,142.72898864746094
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,465396.46875,415374.9375,4901.865234375
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,481124.65625,265787.5,2426.07666015625
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,437241.96875,311102.375,576.2611694335938
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,662743.25,287816.4375,472.7084045410156
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,485449.8125,330029.375,1675.9315185546875
kr-pkl18,Erangel,2019-01-04T11:45:06.7029373Z,LogParachuteLanding,683261.625,308003.0,979.2412719726562
