player_id,team_name,player_name,match_count,attacker_health_diff,defender_health_diff,attacker_accuracy,defender_accuracy,battle_duration,battle_moved_distance,damage
QDR_Yeowook,QDR,Yeowook,90,-20.44154788,-56.26239918,0.61483238,0.352192336,19.417643,1157.339652,70.36484
QDR_Dlaks,QDR,Dlaks,90,-27.74543983,-44.65276765,0.589159695,0.428670232,65.00773,2000.973117,64.78243
SMG_17shox,SMG,17shox,89,-15.07296848,-52.74206952,0.560288557,0.394214777,48.061203,2681.495581,69.09584
NEXT_Ming,NEXT,Ming,89,-17.00527716,-42.88959161,0.61800226,0.421010678,62.660225,2015.605533,67.218895
WOL_067_Tezo,WOL,67,89,-18.26158533,-56.82110378,0.597313479,0.394609149,34.369194,1918.158698,74.80973
LYG_Maps,LYG,Maps,89,-17.57570071,-46.31857724,0.56368668,0.39529812,66.93743,2191.442775,74.064735
WOL_meRcy_Tezo,WOL,meRcy,89,-16.89368989,-43.75943312,0.624794234,0.399962268,67.140854,1653.466212,77.24692
AF_daengchae,AF,daengchae,87,-2.414565284,-53.75641428,0.5472179,0.440488502,68.360466,2023.505821,82.73085
AF_R0wha,AF,R0wha,85,-12.52434898,-54.79434063,0.556700927,0.384513531,46.91358,1381.01641,69.92688
QM_YIZeeeeee,QM,YIZeeeeee,84,-17.70208241,-54.45344095,0.556272646,0.321189737,42.664963,2561.823334,62.635048
MQ_xiaowai,MQ,xiaowai,84,-20.02647161,-45.66424299,0.546999425,0.346002131,31.445684,2278.001211,62.146538
SMG_17lanren,SMG,17lanren,84,-20.59552977,-58.33874098,0.53728823,0.408998501,37.238914,3169.659668,74.47958
OPGG_Alphaca,OPGG,Alphaca,84,-21.83061345,-38.91580953,0.56487,0.369969807,79.91431,1886.956517,73.01583
COC_XS,COC,XS,84,-22.03207013,-45.36259919,0.564713931,0.447680678,31.112543,2689.781533,75.99938
SP_maczora,SP,maczora,84,-14.54615615,-52.91867388,0.581646598,0.447659712,39.368595,2675.066307,68.86916
SP_KIMGONI,SP,KIMGONI,84,-23.35829302,-56.00752513,0.647805324,0.368418412,78.37672,1722.694916,76.966095
COC_Nannnnn,COC,Nannnnn,84,-12.70426618,-47.75768138,0.589594878,0.33369617,30.375105,1657.316218,77.93778
QM_THEJUe,QM,THEJUe,83,-19.64485166,-42.3740794,0.587726433,0.411313203,86.042595,2230.106001,70.908875
T1_Starlord,T1,Starlord,83,-4.177133751,-44.36444984,0.567517615,0.335968085,58.19863,2909.888459,70.262856
FPC_Americano,FPC,Americano,80,-10.13781126,-47.11314999,0.566196544,0.309647491,48.221073,2111.753603,63.99059
EM_KiraV,EM,KiraV,80,-28.16512846,-47.96797093,0.590505722,0.333068484,45.298935,2415.402325,72.75711
FPC_Cross,FPC,Cross,80,-10.10283843,-54.69249198,0.576667207,0.283433563,56.41553,3274.745938,71.564384
VSG_Menteul,VSG,Menteul,79,-18.97410085,-41.92280735,0.610119659,0.299656574,35.711887,1942.14759,70.9973
MCG_995iTank,MCG,995iTank,78,-15.61271608,-43.94005554,0.620608052,0.442302511,69.06304,2528.065822,77.58294
MQ_95k,MQ,95k,78,-19.20468,-48.40184231,0.675936053,0.359931813,125.71502,1770.9936,76.116
AG_dimple,AG,dimple,78,-16.67132833,-49.79610782,0.603799677,0.418309571,46.618107,2094.309766,67.01005
